device_category,mode_category,variable,N,missing,min,q25,median,q75,mean,max
other,pressure support/cpap,resp_rate_set,11,787,0.0,6.0,14.0,16.0,73.0,688.0
other,pressure-regulated volume control,resp_rate_set,24,0,12.0,16.0,16.0,18.5,17.333333333333332,25.0
other,simv,resp_rate_set,12,3,5.0,8.0,10.0,16.0,11.833333333333334,24.0
trach collar,assist control-volume control,resp_rate_set,79,2,10.0,14.0,16.0,19.0,17.063291139240505,30.0
trach collar,other,resp_rate_set,4,8,18.0,18.0,18.0,18.0,18.0,18.0
trach collar,pressure control,resp_rate_set,2,0,10.0,11.25,12.5,13.75,12.5,15.0
trach collar,pressure support/cpap,resp_rate_set,3,294,10.0,13.5,17.0,20.5,17.0,24.0
trach collar,pressure-regulated volume control,resp_rate_set,24,0,10.0,16.0,18.0,20.5,18.958333333333332,28.0
trach collar,simv,resp_rate_set,14,0,7.0,10.0,12.0,12.0,11.642857142857142,16.0
trach collar,volume support,resp_rate_set,0,5,,,,,,
cpap,assist control-volume control,resp_rate_obs,2,2,22.0,22.0,22.0,22.0,22.0,22.0
cpap,other,resp_rate_obs,23,353,11.0,19.0,23.0,26.5,24.0,49.0
cpap,pressure support/cpap,resp_rate_obs,110,85,0.0,19.0,24.0,29.0,24.454545454545453,40.0
cpap,simv,resp_rate_obs,0,1,,,,,,
face mask,assist control-volume control,resp_rate_obs,27,8,12.0,16.0,18.0,21.0,18.77777777777778,32.0
face mask,other,resp_rate_obs,14,45,14.0,16.5,21.5,24.0,21.285714285714285,32.0
face mask,pressure support/cpap,resp_rate_obs,298,204,0.0,14.25,20.0,24.75,19.963087248322147,57.0
face mask,pressure-regulated volume control,resp_rate_obs,19,0,13.0,18.0,18.0,22.0,20.57894736842105,38.0
face mask,simv,resp_rate_obs,2,1,12.0,14.5,17.0,19.5,17.0,22.0
face mask,volume support,resp_rate_obs,1,0,35.0,35.0,35.0,35.0,35.0,35.0
high flow nc,assist control-volume control,resp_rate_obs,3,0,25.0,25.5,26.0,27.0,26.333333333333332,28.0
high flow nc,other,resp_rate_obs,6,24,11.0,18.25,26.0,28.5,23.5,33.0
high flow nc,pressure support/cpap,resp_rate_obs,24,20,8.0,20.0,25.0,28.25,24.666666666666668,42.0
high flow nc,pressure-regulated volume control,resp_rate_obs,12,1,12.0,18.0,24.0,29.25,24.416666666666668,41.0
imv,assist control-volume control,resp_rate_obs,137123,6206,-1.0,16.0,20.0,25.0,21.068370732845693,2016.0
imv,other,resp_rate_obs,21836,2166,0.0,15.0,18.0,23.0,19.2933687488551,146.0
imv,pressure control,resp_rate_obs,8962,777,0.0,18.0,24.0,30.0,23.99207766123633,185.0
imv,pressure support/cpap,resp_rate_obs,222652,43801,-1.0,16.0,21.0,25.0,21.099416623250633,3537.0
imv,pressure-regulated volume control,resp_rate_obs,124992,6042,0.0,18.0,22.0,27.0,22.494063620071685,363.0
imv,simv,resp_rate_obs,10551,1492,0.0,13.0,16.0,21.0,17.78475973841342,68.0
imv,volume support,resp_rate_obs,2371,62,3.0,18.0,22.0,28.0,23.38591311682834,62.0
nasal cannula,assist control-volume control,resp_rate_obs,44,11,12.0,14.0,16.0,20.25,18.0,35.0
nasal cannula,other,resp_rate_obs,10,124,12.0,14.0,20.0,28.75,23.3,51.0
nasal cannula,pressure support/cpap,resp_rate_obs,101,83,7.0,13.0,18.0,22.0,18.376237623762375,40.0
nasal cannula,pressure-regulated volume control,resp_rate_obs,23,2,12.0,16.0,20.0,24.0,20.434782608695652,34.0
nasal cannula,simv,resp_rate_obs,2,2,12.0,14.0,16.0,18.0,16.0,20.0
nippv,assist control-volume control,resp_rate_obs,47,8,14.0,19.0,26.0,29.0,24.80851063829787,37.0
nippv,other,resp_rate_obs,1501,8663,0.0,18.0,23.0,28.0,23.699533644237174,91.0
nippv,pressure control,resp_rate_obs,35,8,15.0,20.5,25.0,28.0,24.857142857142858,38.0
nippv,pressure support/cpap,resp_rate_obs,2919,1722,0.0,21.0,25.0,30.0,26.11613566289825,660.0
nippv,pressure-regulated volume control,resp_rate_obs,7,0,14.0,14.5,18.0,21.5,19.142857142857142,30.0
nippv,simv,resp_rate_obs,45,20,9.0,16.0,22.0,30.0,23.644444444444446,44.0
other,assist control-volume control,resp_rate_obs,59,2,14.0,18.0,21.0,27.5,22.559322033898304,34.0
other,other,resp_rate_obs,171,39,7.0,17.0,22.0,29.0,23.608187134502923,122.0
other,pressure control,resp_rate_obs,3,0,21.0,21.5,22.0,26.0,24.333333333333332,30.0
other,pressure support/cpap,resp_rate_obs,559,239,0.0,20.0,26.0,30.0,25.62432915921288,61.0
other,pressure-regulated volume control,resp_rate_obs,24,0,12.0,16.0,17.5,20.0,18.0,25.0
other,simv,resp_rate_obs,7,8,15.0,18.0,23.0,23.5,20.857142857142858,25.0
trach collar,assist control-volume control,resp_rate_obs,76,5,10.0,16.0,20.0,26.0,21.81578947368421,39.0
trach collar,other,resp_rate_obs,6,6,20.0,21.75,24.5,25.0,24.833333333333332,34.0
trach collar,pressure control,resp_rate_obs,2,0,15.0,16.5,18.0,19.5,18.0,21.0
trach collar,pressure support/cpap,resp_rate_obs,210,87,0.0,19.0,23.0,29.0,24.033333333333335,60.0
trach collar,pressure-regulated volume control,resp_rate_obs,24,0,14.0,18.0,19.0,23.25,20.833333333333332,31.0
trach collar,simv,resp_rate_obs,12,2,12.0,16.25,19.0,28.0,20.916666666666668,32.0
trach collar,volume support,resp_rate_obs,5,0,17.0,21.0,27.0,31.0,26.4,36.0
